# Sensor: Sensor Node loads [Node TW_1 | Tubular tower]      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:15      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      
Time [s]      	Gravity load - material (1129) (mag.)      [    k N      ]      	Gravity load - material (1129) (sign)      [    k N      ]      	Gravity load - material (1129)     .x      [    k N      ]      	Gravity load - material (1129)     .y      [    k N      ]      	Gravity load - material (1129)     .z      [    k N      ]      
----------	----------	----------	----------	----------	----------      
    Min      	1.56117 [100.05s]      	-1.56117 [100.05s]      	      0 [100.05s]      	      0 [100.05s]      	-1.56117 [100.05s]      
    Max      	1.56117 [100.05s]      	-1.56117 [100.05s]      	      0 [100.05s]      	      0 [100.05s]      	-1.56117 [100.05s]      
    4.5      	1.54771      	-1.54771      	      0      	      0      	-1.54771      
   4.55      	1.55119      	-1.55119      	      0      	      0      	-1.55119      
    4.6      	1.55404      	-1.55404      	      0      	      0      	-1.55404      
   4.65      	1.55631      	-1.55631      	      0      	      0      	-1.55631      
    4.7      	1.55805      	-1.55805      	      0      	      0      	-1.55805      
   4.75      	1.55933      	-1.55933      	      0      	      0      	-1.55933      
    4.8      	1.56021      	-1.56021      	      0      	      0      	-1.56021      
   4.85      	1.56075      	-1.56075      	      0      	      0      	-1.56075      
    4.9      	1.56104      	-1.56104      	      0      	      0      	-1.56104      
   4.95      	1.56115      	-1.56115      	      0      	      0      	-1.56115      
      5      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   5.05      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    5.1      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   5.15      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    5.2      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   5.25      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    5.3      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   5.35      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    5.4      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   5.45      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    5.5      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   5.55      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    5.6      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   5.65      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    5.7      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   5.75      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    5.8      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   5.85      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    5.9      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   5.95      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
      6      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   6.05      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    6.1      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   6.15      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
    6.2      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   6.25      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
